Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means
01/01/01,"219,215","142,836","-76,379",n/a,n/a,n/a
02/01/01,"110,481","158,649","48,168",n/a,n/a,n/a
03/01/01,"r130,074","r180,736","50,662",n/a,n/a,n/a
04/01/01,"331,796","141,999","-189,796",n/a,n/a,n/a
05/01/01,"r125,590","r153,508","27,919",n/a,n/a,n/a
06/01/01,"202,887","171,025","-31,862",n/a,n/a,n/a
07/01/01,"127,842","r125,022","-2,820",n/a,n/a,n/a
08/01/01,"122,559","202,549","79,990",n/a,n/a,n/a
09/01/01,"r158,611","r123,110","-35,501",n/a,n/a,n/a
10/01/01,"157,163","r164,819","7,656",n/a,n/a,n/a
11/01/01,"121,233","175,500","54,267",n/a,n/a,n/a
12/01/01,"187,914","161,347","-26,567",n/a,n/a,n/a
01/01/02,"203,452","r159,723","-43,729",n/a,n/a,n/a
02/01/02,"97,962","174,018","76,056",n/a,n/a,n/a
03/01/02,"111,220","175,458","64,238",n/a,n/a,n/a
04/01/02,"237,426","170,257","-67,170",n/a,n/a,n/a
05/01/02,"102,496","183,127","80,631",n/a,n/a,n/a
06/01/02,"182,633","153,562","-29,071",n/a,n/a,n/a
07/01/02,"134,409","163,568","29,159",n/a,n/a,n/a
08/01/02,"124,619","179,328","54,709",n/a,n/a,n/a
09/01/02,"r192,698","r150,310","-42,388",n/a,n/a,n/a
10/01/02,"r124,543","r178,615","54,072",n/a,n/a,n/a
11/01/02,"r120,017","r178,901","58,883",n/a,n/a,n/a
12/01/02,"r182,787","178,069","-4,719",n/a,n/a,n/a
01/01/03,"r187,884","r177,251","-10,633",n/a,n/a,n/a
02/01/03,"r89,477","r186,140","96,663",n/a,n/a,n/a
03/01/03,"r120,358","r179,234","58,877",n/a,n/a,n/a
04/01/03,"r231,160","r180,094","-51,066",n/a,n/a,n/a
05/01/03,"r103,411","r192,278","88,867",n/a,n/a,n/a
06/01/03,"r193,043","r171,814","-21,230",n/a,n/a,n/a
07/01/03,"r123,551","r177,792","54,240",n/a,n/a,n/a
08/01/03,"r114,243","r190,830","76,587",n/a,n/a,n/a
09/01/03,"r191,632","r168,229","-23,402",n/a,n/a,n/a
10/01/03,"r135,825","r205,370","69,545",n/a,n/a,n/a
11/01/03,"118,207","161,179","r42,971",n/a,n/a,n/a
12/01/03,"186,730","r204,370","r17,640",n/a,n/a,n/a
01/01/04,"r185,169","r186,802","r1,633",n/a,n/a,n/a
02/01/04,"r92,009","r188,709","r96,701",n/a,n/a,n/a
03/01/04,"r132,425","r205,337","r72,913",n/a,n/a,n/a
04/01/04,"220,091","r202,513","r-17,578",n/a,n/a,n/a
